Name,Price,Gender,URL,  
Nike Air Zoom Pegasus 38 FlyEase,113.97,Men,https://www.nike.com/t/air-zoom-pegasus-38-flyease-mens-easy-on-off-road-running-shoes-extra-wide-H16QG5/DA6678-002,
Nike Metcon 7 X,140,Men,https://www.nike.com/t/metcon-7-x-training-shoes-P0238b/DA8110-721,
Nike City Rep TR,65,Men,https://www.nike.com/t/city-rep-tr-mens-training-shoes-r0PpSf/DA1352-400,
Nike Renew Elevate 2,75.97,Men,https://www.nike.com/t/renew-elevate-2-basketball-shoes-v0S9N8/CW3406-002,
Nike Metcon 6,121.97,Men,https://www.nike.com/t/metcon-6-training-shoes-mv1qKX/DJ3022-001,
Nike Metcon 7 By You,160,Men,https://www.nike.com/u/custom-nike-metcon-7-by-you-10001101/9172681245,
Nike Air Zoom Pulse,120,Men,https://www.nike.com/t/air-zoom-pulse-shoes-xlmwMX/CT1629-002,
Nike Offcourt (LSU),35,Men,https://www.nike.com/t/offcourt-lsu-slide-dVMP4g/DD0531-001,
Nike Wildhorse 7,106.97,Men,https://www.nike.com/t/wildhorse-7-mens-trail-running-shoes-rJ6R7V/CZ1856-700,
Nike Mercurial Superfly 8 Pro FG,150,Men,https://www.nike.com/t/mercurial-superfly-8-pro-fg-firm-ground-soccer-cleat-hpgDrm/CV0961-760,
Nike Vapor Edge Speed 360,95,Men,https://www.nike.com/t/vapor-edge-speed-360-mens-football-cleats-7pZdnc/CD0082-001,
Nike Tiempo Legend 9 Club TF,50,Men,https://www.nike.com/t/tiempo-legend-9-club-tf-turf-soccer-shoe-8lrbXd/DA1193-004,
Nike SB BLZR Court,65,Men,https://www.nike.com/t/sb-blzr-court-skate-shoes-R6bVLk/CV1658-102,
KD Trey 5 IX,85.97,Men,https://www.nike.com/t/kd-trey-5-ix-basketball-shoes-1HJf9Q/CW3400-001,
Nike Phantom GT Academy 3D IC,72.97,Men,https://www.nike.com/t/phantom-gt-academy-3d-ic-indoor-court-soccer-shoes-m3kBlX/CZ3445-467,
Nike Offcourt (NFL Carolina Panthers),35,Men,https://www.nike.com/t/offcourt-carolina-panthers-slide-mGG6Sr/DD0540-001,
"Zoom Freak 2 ""Play for the Future""",130,Men,https://www.nike.com/t/zoom-freak-2-play-for-the-future-basketball-shoes-RxdZ5p/CK5424-500,
Nike Court Legacy,61.97,Men,https://www.nike.com/t/court-legacy-mens-shoes-8nrfBK/DJ1999-800,
Nike Air Zoom Pegasus 38 Shield By You,165,Men,https://www.nike.com/u/custom-nike-air-zoom-pegasus-38-shield-by-you-10001131/6940270607,
Nike React Live SE,100,Men,https://www.nike.com/t/react-live-se-mens-shoes-FF0LHr/DD6879-002,
Nike SB Zoom Verona Slip x Leo Baker,60.97,Men,https://www.nike.com/t/sb-zoom-verona-slip-x-leo-baker-skate-shoes-1s8svf/DC4231-400,
Nike Mercurial Vapor 14 Elite FG,180.97,Men,https://www.nike.com/t/mercurial-vapor-14-elite-fg-firm-ground-soccer-cleats-mcqZFs/CQ7635-090,
Nike Air Max 97 By You,190,Men,https://www.nike.com/u/custom-nike-air-force-97-by-you-10001072/8095401577,
Nike Offcourt (MLB Cleveland),35,Men,https://www.nike.com/t/offcourt-cleveland-slide-9BvPvk/DH6987-001,
Nike Renew Run 2,43.97,Men,https://www.nike.com/t/renew-run-2-mens-road-running-shoe-8WSLZf/CU3504-003,
Nike Metcon Sport,94.97,Men,https://www.nike.com/t/metcon-sport-mens-training-shoes-bqcHgn/AQ7489-003,
Nike Victori One,35,Men,https://www.nike.com/t/victori-one-mens-printed-slides-bDnqZM/CN9678-004,
Nike SuperRep Go,79.97,Men,https://www.nike.com/t/superrep-go-mens-training-shoes-19sK4X/CJ0773-011,
Nike Offcourt (Oklahoma),35,Men,https://www.nike.com/t/offcourt-oklahoma-slide-Sfk70z/DD0536-001,
Nike Air Max SC,80,Men,https://www.nike.com/t/air-max-sc-mens-shoes-nxf4jq/DM7587-001,
Nike Mercurial Superfly 8 Academy By You,110,Men,https://www.nike.com/u/custom-nike-mercurial-superfly-8-academy-by-you-10001028/7703970942,
Nike Asuna,45,Men,https://www.nike.com/t/asuna-mens-slides-KmrL4c/CW9703-002,
Nike Air Zoom Infinity Tour,151.97,Men,https://www.nike.com/t/air-zoom-infinity-tour-golf-shoes-d6B7Jt/CT0540-177,
Nike Offcourt (NFL Arizona Cardinals),35,Men,https://www.nike.com/t/offcourt-arizona-cardinals-slide-MmWZ1t/DD0514-001,
Nike Phantom GT Elite Dynamic Fit 3D FG,223.97,Men,https://www.nike.com/t/phantom-gt-elite-dynamic-fit-3d-fg-firm-ground-soccer-cleat-SBzbds/CZ3458-467,
Nike Air VaporMax 2020 FK,154.97,Men,https://www.nike.com/t/air-vapormax-2020-fk-mens-shoes-kn9vwZ/CJ6740-002,
Nike Air Max 97 SE,162.97,Men,https://www.nike.com/t/air-max-97-se-mens-shoes-VcSkNH/DC3986-300,
"Nike SFB Field 2 8"" GORE-TEX",190,Men,https://www.nike.com/t/sfb-field-2-8-gore-tex-tactical-boot-hk7SJs/AQ1199-001,
Nike DBreak-Type,100,Men,https://www.nike.com/t/dbreak-type-mens-shoes-jMChCx/DJ5526-001,
Jordan MA2,125,Men,https://www.nike.com/t/jordan-ma2-mens-shoes-knK52s/DJ5187-001,
LeBron 18,200,Men,https://www.nike.com/t/lebron-18-basketball-shoes-jgn5lq/CQ9283-401,
Nike Offcourt (NFL Minnesota Vikings),35,Men,https://www.nike.com/t/offcourt-minnesota-vikings-slide-Wj38Tc/DD0554-001,
Nike Court Vision Mid,75,Men,https://www.nike.com/t/court-vision-mid-mens-shoes-K8pNkX/CU6620-001,
Nike Mercurial Superfly 8 Club MG,65,Men,https://www.nike.com/t/mercurial-superfly-8-club-mg-multi-ground-soccer-cleat-7PmR02/CV0852-760,
Nike ACG Air Mowabb,160,Men,https://www.nike.com/t/acg-air-mowabb-shoes-DBtM9p/DM0840-001,
Nike Zoom Freak 3 By You,145,Men,https://www.nike.com/u/custom-nike-zoom-freak-3-by-you-10001153/5167454439,
Nike Free RN 2018,99.97,Men,https://www.nike.com/t/free-rn-2018-mens-running-shoe-4VTnGqeZ/942836-002,
Nike Flex Control 4,64.97,Men,https://www.nike.com/t/flex-control-4-mens-training-shoes-14Z62l/CD0197-001,
Kyrie 7 (Team),130,Men,https://www.nike.com/t/kyrie-7-team-basketball-shoe-fFvVZg/DA7767-401,
Nike Offcourt (NFL Philadelphia Eagles),35,Men,https://www.nike.com/t/offcourt-philadelphia-eagles-slide-h9RDWb/DD0523-001,
Nike Tiempo Legend 8 Pro TF,72.97,Men,https://www.nike.com/t/tiempo-legend-8-pro-tf-artificial-turf-soccer-shoes-qqBgGv/AT6136-090,
Nike Tanjun,65,Men,https://www.nike.com/t/tanjun-mens-shoes-jQ3z1W/DJ6258-003,
